results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
10.11,-0.8,Kim COLLINS,76,SKN,F,1,"Alexander Stadium, Birmingham (GBR)",05.06,1173
10.11,-0.8,Michael RODGERS,85,USA,F,2,"Alexander Stadium, Birmingham (GBR)",05.06,1173
10.11,+0.4,Marvin BRACY-WILLIAMS,93,USA,F,4,"Olympic Stadium, London (GBR)",22.07,1169
10.11,+0.4,Julian FORTE,93,JAM,F,5,"Olympic Stadium, London (GBR)",22.07,1169
10.11,+0.4,Adam GEMILI,93,GBR,F,5,"Letzigrund, Zürich (SUI)",01.09,1169
10.12,-0.8,Chijindu UJAH,94,GBR,F,3,"Alexander Stadium, Birmingham (GBR)",05.06,1169
10.12,+0.6,Dentarius LOCKE,89,USA,F,3,"Bislett Stadion, Oslo (NOR)",09.06,1165
10.12,-0.1,Jimmy VICAUT,92,FRA,F,5,Paris (FRA),27.08,1165
10.12,-0.1,Kim COLLINS,76,SKN,F,6,Paris (FRA),27.08,1165
10.12,+0.4,Omar MCLEOD,94,JAM,F,6,"Letzigrund, Zürich (SUI)",01.09,1165
10.13,+1.0,Akani SIMBINE,93,RSA,F1,5,"Stadio Olimpico, Roma (ITA)",02.06,1162
10.13,+0.4,Churandy MARTINA,84,NED,F,7,"Letzigrund, Zürich (SUI)",01.09,1162
10.13,+0.4,Chijindu UJAH,94,GBR,F,8,"Letzigrund, Zürich (SUI)",01.09,1162
10.14,+1.0,Aaron BROWN,92,CAN,F1,1,"Shanghai Stadium, Shanghai (CHN)",14.05,1159
10.14,+0.1,Chijindu UJAH,94,GBR,H1,1,"Olympic Stadium, London (GBR)",22.07,1159
10.14,-0.1,Michael RODGERS,85,USA,F,7,Paris (FRA),27.08,1159
10.15,+1.0,Chijindu UJAH,94,GBR,F1,6,"Stadio Olimpico, Roma (ITA)",02.06,1155
10.15,+0.3,Richard KILTY,89,GBR,H2,4,"Olympic Stadium, London (GBR)",22.07,1155
10.15,+0.5,Churandy MARTINA,84,NED,F,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1155
10.15,-0.1,Chijindu UJAH,94,GBR,F,8,Paris (FRA),27.08,1155
10.15,+0.4,Michael RODGERS,85,USA,F,9,"Letzigrund, Zürich (SUI)",01.09,1155
10.16,+1.0,Churandy MARTINA,84,NED,F1,7,"Stadio Olimpico, Roma (ITA)",02.06,1152
10.16,+0.3,Kim COLLINS,76,SKN,H2,5,"Olympic Stadium, London (GBR)",22.07,1152
10.16,+0.4,Chijindu UJAH,94,GBR,F,6,"Olympic Stadium, London (GBR)",22.07,1152
10.16,+0.4,Richard KILTY,89,GBR,F,7,"Olympic Stadium, London (GBR)",22.07,1152
10.17,0.0,Kim COLLINS,76,SKN,F,4,"Shanghai Stadium, Shanghai (CHN)",14.05,1148
10.17,+0.1,Marvin BRACY-WILLIAMS,93,USA,H1,2,"Olympic Stadium, London (GBR)",22.07,1148
10.18,+0.6,Ameer WEBB,91,USA,F,4,"Bislett Stadion, Oslo (NOR)",09.06,1145
10.18,-0.8,Jak Ali HARVEY,89,TUR,F,1,"Olympiastadion, Stockholm (SWE)",16.06,1149
10.19,+0.1,Michael RODGERS,85,USA,H1,3,"Olympic Stadium, London (GBR)",22.07,1142
10.19,+0.4,Michael RODGERS,85,USA,F,8,"Olympic Stadium, London (GBR)",22.07,1142
10.20,+0.6,Christophe LEMAITRE,90,FRA,F,5,"Bislett Stadion, Oslo (NOR)",09.06,1138
10.21,+0.1,Isiah YOUNG,90,USA,H1,4,"Olympic Stadium, London (GBR)",22.07,1135
10.22,0.0,Isiah YOUNG,90,USA,F,5,"Shanghai Stadium, Shanghai (CHN)",14.05,1132
10.22,+1.0,Abdul Hakim SANI BROWN,99,JPN,F1,2,"Shanghai Stadium, Shanghai (CHN)",14.05,1132
10.23,0.0,Julian FORTE,93,JAM,F,6,"Shanghai Stadium, Shanghai (CHN)",14.05,1128
10.23,+0.1,Michael FRATER,82,JAM,H1,5,"Olympic Stadium, London (GBR)",22.07,1128
10.23,+0.3,Harry AIKINES-ARYEETEY,88,GBR,H2,6,"Olympic Stadium, London (GBR)",22.07,1128
10.24,0.0,Ramon GITTENS,87,BAR,F,7,"Shanghai Stadium, Shanghai (CHN)",14.05,1125
10.24,-0.8,Sean MCLEAN,92,USA,F,4,"Alexander Stadium, Birmingham (GBR)",05.06,1129
10.24,+0.1,James DASAOLU,87,GBR,H1,6,"Olympic Stadium, London (GBR)",22.07,1125
10.24,+0.3,Akeem HAYNES,92,CAN,H2,7,"Olympic Stadium, London (GBR)",22.07,1125
10.24,+0.5,Kim COLLINS,76,SKN,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1125
10.25,-0.8,Isiah YOUNG,90,USA,F,5,"Alexander Stadium, Birmingham (GBR)",05.06,1126
10.25,-0.8,Ben Youssef MEITÉ,86,CIV,F,2,"Olympiastadion, Stockholm (SWE)",16.06,1126
10.26,+1.0,Andrew FISHER,91,BRN,F1,3,"Shanghai Stadium, Shanghai (CHN)",14.05,1118
10.26,+1.0,Isiah YOUNG,90,USA,F1,8,"Stadio Olimpico, Roma (ITA)",02.06,1118
10.26,+0.1,Ojie EDOBURUN,96,GBR,H1,7,"Olympic Stadium, London (GBR)",22.07,1118
10.26,+0.3,Richard THOMPSON,85,TTO,H2,8,"Olympic Stadium, London (GBR)",22.07,1118
10.29,-0.8,Adam GEMILI,93,GBR,F,6,"Alexander Stadium, Birmingham (GBR)",05.06,1112
10.29,+0.1,Aaron BROWN,92,CAN,H1,8,"Olympic Stadium, London (GBR)",22.07,1108
10.30,-0.7,Xingqiang TANG,95,CHN,F2,1,"Shanghai Stadium, Shanghai (CHN)",14.05,1109
10.30,+0.5,Solomon BOCKARIE,87,NED,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1105
10.31,0.0,Zhenye XIE,93,CHN,F,8,"Shanghai Stadium, Shanghai (CHN)",14.05,1102
10.31,-0.8,Daniel BAILEY,86,ANT,F,3,"Olympiastadion, Stockholm (SWE)",16.06,1106
10.31,-0.8,Dentarius LOCKE,89,USA,F,4,"Olympiastadion, Stockholm (SWE)",16.06,1106
10.31,-0.8,Richard KILTY,89,GBR,F,5,"Olympiastadion, Stockholm (SWE)",16.06,1106
10.32,+0.6,Sean MCLEAN,92,USA,F,6,"Bislett Stadion, Oslo (NOR)",09.06,1099
10.32,+0.1,Solomon BOCKARIE,87,NED,H1,9,"Olympic Stadium, London (GBR)",22.07,1099
10.34,+0.3,Everton CLARKE,92,JAM,H2,9,"Olympic Stadium, London (GBR)",22.07,1092
10.35,+0.6,Wilfried KOFFI HUA,87,CIV,F,7,"Bislett Stadion, Oslo (NOR)",09.06,1089
10.38,+1.0,Justin WALKER,90,USA,F1,4,"Shanghai Stadium, Shanghai (CHN)",14.05,1079
10.40,+1.0,Jack HALE,98,AUS,F1,5,"Shanghai Stadium, Shanghai (CHN)",14.05,1072
10.40,-0.7,Haiyang XU,92,CHN,F2,2,"Shanghai Stadium, Shanghai (CHN)",14.05,1076
10.40,+0.4,Solomon BOCKARIE,87,NED,F2,2,"Stadio Olimpico, Roma (ITA)",02.06,1072
10.41,+0.4,Patrick VAN LUIJK,84,NED,F2,3,"Stadio Olimpico, Roma (ITA)",02.06,1069
10.41,+0.4,Stuart DUTAMBY,94,FRA,F2,4,"Stadio Olimpico, Roma (ITA)",02.06,1069
10.41,+0.3,Alex WILSON,90,SUI,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1069
10.41,+0.5,Alex WILSON,90,SUI,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1069
10.43,+0.5,Harry AIKINES-ARYEETEY,88,GBR,F,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1063
10.44,+1.0,Shavez HART,92,BAH,F1,6,"Shanghai Stadium, Shanghai (CHN)",14.05,1059
10.45,+0.4,Méba Mickaël ZEZE,94,FRA,F2,5,"Stadio Olimpico, Roma (ITA)",02.06,1056
10.48,+1.0,Xinyue PAN,93,CHN,F1,7,"Shanghai Stadium, Shanghai (CHN)",14.05,1047
10.48,+1.2,Morten DALGÅRD MADSEN,95,DEN,F,1,"Bislett Stadion, Oslo (NOR)",09.06,1047
10.49,+0.4,Przemysław SŁOWIKOWSKI,93,POL,F2,6,"Stadio Olimpico, Roma (ITA)",02.06,1043
10.49,+0.3,Pascal MANCINI,89,SUI,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1043
10.51,-0.7,Nick ANDREWS,97,AUS,F2,3,"Shanghai Stadium, Shanghai (CHN)",14.05,1041
10.51,-0.7,Przemysław SŁOWIKOWSKI,93,POL,F2,4,"Shanghai Stadium, Shanghai (CHN)",14.05,1041
10.53,+0.4,Pascal MANCINI,89,SUI,F2,7,"Stadio Olimpico, Roma (ITA)",02.06,1031
10.54,-0.7,Jianliang MA,96,CHN,F2,5,"Shanghai Stadium, Shanghai (CHN)",14.05,1031
10.55,+0.4,Hensley PAULINA,93,NED,F2,8,"Stadio Olimpico, Roma (ITA)",02.06,1024
10.56,-0.6,Cătălin CÎMPEANU,85,ROU,F1,1,"Olympiastadion, Stockholm (SWE)",16.06,1024
10.59,-0.7,Zhiqiang WU,94,CHN,F2,6,"Shanghai Stadium, Shanghai (CHN)",14.05,1015
10.59,-0.7,Krzysztof GRZEŚKOWIAK,93,POL,F2,7,"Shanghai Stadium, Shanghai (CHN)",14.05,1015
10.59,+1.2,Håkon MORKEN,93,NOR,F,2,"Bislett Stadion, Oslo (NOR)",09.06,1011
10.60,-0.8,Jonathan QUARCOO,96,NOR,F,6,"Olympiastadion, Stockholm (SWE)",16.06,1012
10.61,+0.3,Sylvain CHUARD,96,SUI,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1005
10.63,+1.0,Dariusz KUĆ,86,POL,F1,8,"Shanghai Stadium, Shanghai (CHN)",14.05,999
10.63,+0.3,Florian CLIVAZ,94,SUI,F,4,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,999
10.65,0.0,Nicholas ARTUSO,98,ITA,F,1,"Stadio Olimpico, Roma (ITA)",02.06,993
10.65,+0.1,Bastien ANYLA,86,FRA,F,1,Paris (FRA),27.08,993
10.66,0.0,Youxue MO,96,CHN,F,9,"Shanghai Stadium, Shanghai (CHN)",14.05,990
10.67,-0.7,Kamil KRYŃSKI,87,POL,F2,8,"Shanghai Stadium, Shanghai (CHN)",14.05,990
10.68,+0.5,Qibang LIN,97,CHN,F,1,"Shanghai Stadium, Shanghai (CHN)",14.05,983
10.69,+0.5,Yang YANG,97,CHN,F,2,"Shanghai Stadium, Shanghai (CHN)",14.05,980
10.69,-0.6,Petre Nicolae REZMIVES,97,ROU,F1,2,"Olympiastadion, Stockholm (SWE)",16.06,983
10.70,0.0,Hillary Wanderson POLANCO RIJO,97,ITA,F,2,"Stadio Olimpico, Roma (ITA)",02.06,977
10.74,+0.5,Zhijian HUANG,98,CHN,F,3,"Shanghai Stadium, Shanghai (CHN)",14.05,965
10.80,+1.2,Christian MARTHINUSSEN,83,NOR,F,3,"Bislett Stadion, Oslo (NOR)",09.06,946
10.80,+1.2,Jostein Joshua FOSSØY,92,NOR,F,4,"Bislett Stadion, Oslo (NOR)",09.06,946
10.80,+0.1,Armand-Warren TSHIAJI,91,FRA,F,2,Paris (FRA),27.08,946
10.82,-0.6,Jacob EWERTZH,95,SWE,F1,3,"Olympiastadion, Stockholm (SWE)",16.06,943
10.83,-0.8,Odain ROSE,92,SWE,F,7,"Olympiastadion, Stockholm (SWE)",16.06,941
10.84,+0.5,Yao TANG,98,CHN,F,4,"Shanghai Stadium, Shanghai (CHN)",14.05,934
10.85,+1.2,Michael ROSENBERG,90,NOR,F,5,"Bislett Stadion, Oslo (NOR)",09.06,931
10.86,0.0,Jamie Steve Dave	 ABE,98,ITA,F,3,"Stadio Olimpico, Roma (ITA)",02.06,928
10.86,-0.6,Gustav KJELL,96,SWE,F1,4,"Olympiastadion, Stockholm (SWE)",16.06,931
10.87,0.0,Fabrizio CEGLIE,99,ITA,F,4,"Stadio Olimpico, Roma (ITA)",02.06,925
10.87,-0.6,Håkon MORKEN,93,NOR,F1,5,"Olympiastadion, Stockholm (SWE)",16.06,928
10.88,-1.3,Ioan Andrei MELNICESCU,96,ROU,F2,1,"Olympiastadion, Stockholm (SWE)",16.06,929
10.89,-0.6,Chris BRUSENBACK,93,SWE,F1,6,"Olympiastadion, Stockholm (SWE)",16.06,922
10.90,+0.3,Kevin DI NOCERA,94,SUI,F,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,916
10.92,+0.5,Zhihong WANG,00,CHN,F,5,"Shanghai Stadium, Shanghai (CHN)",14.05,910
10.93,+0.1,Kalilou BOVARE,99,FRA,F,3,Paris (FRA),27.08,907
10.95,+1.0,Rakieem SALAAM,90,USA,F1,9,"Shanghai Stadium, Shanghai (CHN)",14.05,901
10.99,0.0,Simone MATERA,97,ITA,F,5,"Stadio Olimpico, Roma (ITA)",02.06,889
11.02,+0.5,Yifei JIANG,00,CHN,F,6,"Shanghai Stadium, Shanghai (CHN)",14.05,880
11.05,-1.3,Desmond ROGO,96,SWE,F2,2,"Olympiastadion, Stockholm (SWE)",16.06,878
11.05,+0.3,Hamid HOXHA,94,SUI,F,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,871
11.06,+0.3,Jarod BIYA,00,SUI,F,7,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,869
11.08,-0.3,Tuur BRAS,99,BEL,F,1,"Boudewijnstadion, Bruxelles (BEL)",09.09,864
11.11,+0.5,Ke LIU,00,CHN,F,7,"Shanghai Stadium, Shanghai (CHN)",14.05,854
11.15,0.0,Michele RANCAN,98,ITA,F,6,"Stadio Olimpico, Roma (ITA)",02.06,842
11.15,-0.3,Amine KASMI,00,BEL,F,2,"Boudewijnstadion, Bruxelles (BEL)",09.09,843
11.20,+0.3,Jordan Herdy NGOM,97,CMR,F,8,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,828
11.22,+0.1,Alan DUVIGNEAU,95,FRA,F,4,Paris (FRA),27.08,822
11.23,+0.5,Jie ZHANG,99,CHN,F,8,"Shanghai Stadium, Shanghai (CHN)",14.05,820
11.26,-0.3,Jorg VANLIERDE,99,BEL,F,3,"Boudewijnstadion, Bruxelles (BEL)",09.09,812
11.27,-0.3,Kasper TORFS,99,BEL,F,4,"Boudewijnstadion, Bruxelles (BEL)",09.09,809
11.28,-1.3,Michael LUXEMBURG,94,SWE,F2,3,"Olympiastadion, Stockholm (SWE)",16.06,812
11.33,-1.3,Giovanni INOSTROZA,97,SWE,F2,4,"Olympiastadion, Stockholm (SWE)",16.06,798
11.34,-0.3,Matthieu DAVIES,00,BEL,F,5,"Boudewijnstadion, Bruxelles (BEL)",09.09,790
11.34,-0.3,Theo ROSITANO,99,BEL,F,6,"Boudewijnstadion, Bruxelles (BEL)",09.09,790
11.36,-1.3,Fredrik ÅSTRÖM,93,SWE,F2,5,"Olympiastadion, Stockholm (SWE)",16.06,790
11.40,-0.3,Niels KESTELOOT,99,BEL,F,7,"Boudewijnstadion, Bruxelles (BEL)",09.09,773
11.58,+0.1,Kiryan POTIERIS,98,FRA,F,5,Paris (FRA),27.08,723
11.59,+0.6,Kim COLLINS,76,SKN,F,8,"Bislett Stadion, Oslo (NOR)",09.06,720
11.71,-0.3,Tanguy VAN ONGEVALLE,99,BEL,F,8,"Boudewijnstadion, Bruxelles (BEL)",09.09,690
11.82,+0.1,Raez-Khan MAHMOOD,99,FRA,F,6,Paris (FRA),27.08,660
12.08,+0.4,Kim COLLINS,76,SKN,F,9,"Olympic Stadium, London (GBR)",22.07,596
